Case,Ranking,Subset,N,CV_F1_macro,CV_F1_macro_std,Features
SPEARMAN_TOP_25,spearman,TOP_25,25,0.5179632060747466,0.0340127301728568,conflict_event_count_log1p|conflict_intensity_7d_log1p|day_of_week_sin|inventory_change_pct|fatalities_log1p|gdelt_goldstein_7d|gdelt_volume_lag1_log1p|gdelt_tone_lag1|net_imports_change_pct_slog1p|gdelt_tone_7d|gdelt_tone_30d|gdelt_goldstein|inventory_zscore|gdelt_events_log1p|month_sin|day_of_week_cos|oil_return|yield_spread|production_change_pct_slog1p|fatalities_7d_log1p|oil_return_lag1|month_cos|sp500_return|oil_return_lag2|usd_return
SPEARMAN_TOP_16,spearman,TOP_16,16,0.5162634577107642,0.026782158872725732,conflict_event_count_log1p|conflict_intensity_7d_log1p|day_of_week_sin|inventory_change_pct|fatalities_log1p|gdelt_goldstein_7d|gdelt_volume_lag1_log1p|gdelt_tone_lag1|net_imports_change_pct_slog1p|gdelt_tone_7d|gdelt_tone_30d|gdelt_goldstein|inventory_zscore|gdelt_events_log1p|month_sin|day_of_week_cos
SPEARMAN_TOP_12,spearman,TOP_12,12,0.5161212452880657,0.02612058992530643,conflict_event_count_log1p|conflict_intensity_7d_log1p|day_of_week_sin|inventory_change_pct|fatalities_log1p|gdelt_goldstein_7d|gdelt_volume_lag1_log1p|gdelt_tone_lag1|net_imports_change_pct_slog1p|gdelt_tone_7d|gdelt_tone_30d|gdelt_goldstein
MI_SPEARMAN_TOP_20,mi_spearman,TOP_20,20,0.5139493823034591,0.014589276890438761,day_of_week_sin|gdelt_goldstein|gdelt_tone_7d|gdelt_tone_30d|inventory_zscore|conflict_event_count_log1p|conflict_intensity_7d_log1p|fatalities_log1p|oil_return_lag2|inventory_change_pct|production_change_pct_slog1p|gdelt_volume_lag1_log1p|gdelt_goldstein_7d|sp500_return|gdelt_tone_lag1|fatalities_7d_log1p|net_imports_change_pct_slog1p|day_of_week_cos|vix_return_slog1p|gdelt_events_log1p
MI_TOP_12,mi,TOP_12,12,0.5121290142731294,0.012169290414817666,gdelt_goldstein|day_of_week_sin|oil_return_lag2|gdelt_tone_7d|sp500_return|gdelt_tone_30d|inventory_zscore|vix_return_slog1p|production_change_pct_slog1p|fatalities_7d_log1p|fatalities_log1p|day_of_week_cos
MI_TOP_20,mi,TOP_20,20,0.5109377999760398,0.015692981697933796,gdelt_goldstein|day_of_week_sin|oil_return_lag2|gdelt_tone_7d|sp500_return|gdelt_tone_30d|inventory_zscore|vix_return_slog1p|production_change_pct_slog1p|fatalities_7d_log1p|fatalities_log1p|day_of_week_cos|conflict_event_count_log1p|usd_return|conflict_intensity_7d_log1p|gdelt_volume_lag1_log1p|gdelt_goldstein_7d|inventory_change_pct|gdelt_tone_lag1|net_imports_change_pct_slog1p
MI_TOP_25,mi,TOP_25,25,0.5101966834865198,0.03619117374831785,gdelt_goldstein|day_of_week_sin|oil_return_lag2|gdelt_tone_7d|sp500_return|gdelt_tone_30d|inventory_zscore|vix_return_slog1p|production_change_pct_slog1p|fatalities_7d_log1p|fatalities_log1p|day_of_week_cos|conflict_event_count_log1p|usd_return|conflict_intensity_7d_log1p|gdelt_volume_lag1_log1p|gdelt_goldstein_7d|inventory_change_pct|gdelt_tone_lag1|net_imports_change_pct_slog1p|gdelt_events_log1p|month_sin|oil_return|yield_spread|oil_return_lag1
SPEARMAN_TOP_8,spearman,TOP_8,8,0.5060409456764454,0.014500934262945743,conflict_event_count_log1p|conflict_intensity_7d_log1p|day_of_week_sin|inventory_change_pct|fatalities_log1p|gdelt_goldstein_7d|gdelt_volume_lag1_log1p|gdelt_tone_lag1
ALL_27,all,ALL,27,0.5047249326925971,0.023808479696782184,yield_spread|inventory_change_pct|gdelt_goldstein|gdelt_tone_7d|gdelt_tone_30d|gdelt_goldstein_7d|oil_return|usd_return|sp500_return|inventory_zscore|oil_return_lag1|oil_return_lag2|gdelt_tone_lag1|day_of_week_sin|day_of_week_cos|month_sin|month_cos|gdelt_events_log1p|conflict_event_count_log1p|conflict_intensity_7d_log1p|fatalities_log1p|fatalities_7d_log1p|gdelt_volume_lag1_log1p|vix_lag1_log1p|net_imports_change_pct_slog1p|production_change_pct_slog1p|vix_return_slog1p
SPEARMAN_TOP_20,spearman,TOP_20,20,0.5008606161970246,0.03089460158486125,conflict_event_count_log1p|conflict_intensity_7d_log1p|day_of_week_sin|inventory_change_pct|fatalities_log1p|gdelt_goldstein_7d|gdelt_volume_lag1_log1p|gdelt_tone_lag1|net_imports_change_pct_slog1p|gdelt_tone_7d|gdelt_tone_30d|gdelt_goldstein|inventory_zscore|gdelt_events_log1p|month_sin|day_of_week_cos|oil_return|yield_spread|production_change_pct_slog1p|fatalities_7d_log1p
MI_SPEARMAN_TOP_25,mi_spearman,TOP_25,25,0.5004765294176691,0.03508272391636913,day_of_week_sin|gdelt_goldstein|gdelt_tone_7d|gdelt_tone_30d|inventory_zscore|conflict_event_count_log1p|conflict_intensity_7d_log1p|fatalities_log1p|oil_return_lag2|inventory_change_pct|production_change_pct_slog1p|gdelt_volume_lag1_log1p|gdelt_goldstein_7d|sp500_return|gdelt_tone_lag1|fatalities_7d_log1p|net_imports_change_pct_slog1p|day_of_week_cos|vix_return_slog1p|gdelt_events_log1p|month_sin|oil_return|yield_spread|oil_return_lag1|month_cos
MI_SPEARMAN_TOP_12,mi_spearman,TOP_12,12,0.4997884539196925,0.031197067811532853,day_of_week_sin|gdelt_goldstein|gdelt_tone_7d|gdelt_tone_30d|inventory_zscore|conflict_event_count_log1p|conflict_intensity_7d_log1p|fatalities_log1p|oil_return_lag2|inventory_change_pct|production_change_pct_slog1p|gdelt_volume_lag1_log1p
MI_TOP_8,mi,TOP_8,8,0.4990341932723301,0.015052804769417694,gdelt_goldstein|day_of_week_sin|oil_return_lag2|gdelt_tone_7d|sp500_return|gdelt_tone_30d|inventory_zscore|vix_return_slog1p
MI_SPEARMAN_TOP_8,mi_spearman,TOP_8,8,0.49816773186911245,0.045916550373335904,day_of_week_sin|gdelt_goldstein|gdelt_tone_7d|gdelt_tone_30d|inventory_zscore|conflict_event_count_log1p|conflict_intensity_7d_log1p|fatalities_log1p
MI_TOP_16,mi,TOP_16,16,0.4952541117748436,0.03398457407830147,gdelt_goldstein|day_of_week_sin|oil_return_lag2|gdelt_tone_7d|sp500_return|gdelt_tone_30d|inventory_zscore|vix_return_slog1p|production_change_pct_slog1p|fatalities_7d_log1p|fatalities_log1p|day_of_week_cos|conflict_event_count_log1p|usd_return|conflict_intensity_7d_log1p|gdelt_volume_lag1_log1p
MI_SPEARMAN_TOP_16,mi_spearman,TOP_16,16,0.4919520647580652,0.01468719748003197,day_of_week_sin|gdelt_goldstein|gdelt_tone_7d|gdelt_tone_30d|inventory_zscore|conflict_event_count_log1p|conflict_intensity_7d_log1p|fatalities_log1p|oil_return_lag2|inventory_change_pct|production_change_pct_slog1p|gdelt_volume_lag1_log1p|gdelt_goldstein_7d|sp500_return|gdelt_tone_lag1|fatalities_7d_log1p
